,Date,Density,AVG_COEF,Modularity,AD_Pv,AD_Sv,AD_Cv,B_Sv,B_Cv
93,2020-05-02,0.2,0.06666666666666667,0.275,0.2,0.25,0.3333333333333333,1.5714285714285714,1.6666666666666667
94,2020-05-03,0.2,0.06666666666666667,0.275,0.2,0.25,0.3333333333333333,1.5714285714285714,1.6666666666666667
95,2020-05-04,0.25,0.125,0.3333333333333333,0.3,0.3333333333333333,0.5,1.6,2.0
96,2020-05-05,0.05514705882352941,0.44683257918552033,0.08725490196078424,0.0196078431372549,0.0625,0.027777777777777776,1.5161290322580645,0.4722222222222222
97,2020-05-06,0.029356060606060608,0.4708538587848933,0.04533235581622631,0.0053475935828877,0.03125,0.007352941176470588,1.507936507936508,0.2426470588235294
98,2020-05-07,0.018505079825834544,0.4815412013862148,0.02827342838441623,0.0020964360587002098,0.019230769230769232,0.002849002849002849,1.5048543689320388,0.150997150997151
99,2020-05-08,0.01514423076923077,0.48488020176544766,0.02306166056165908,0.0013986013986013986,0.015625,0.001893939393939394,1.5039370078740157,0.12310606060606061
100,2020-05-09,0.013508371385083713,0.4865086594494855,0.02053722640255647,0.0011106997408367272,0.013888888888888888,0.0015015015015015015,1.5034965034965035,0.10960960960960961
101,2020-05-10,0.012654012654012654,0.162578542715529,0.01937755227228585,0.0009737098344693282,0.012987012987012988,0.0013149243918474688,1.5032679738562091,0.10256410256410256
102,2020-05-11,0.010986267166042446,0.1630999066293184,0.016778742480990514,0.0007326007326007326,0.011235955056179775,0.0009876543209876543,1.502824858757062,0.08888888888888889
103,2020-05-12,0.01161790017211704,0.16087906454447806,0.017905838521632987,0.0008403361344537816,0.012048192771084338,0.0011337868480725624,1.503030303030303,0.09523809523809523
104,2020-05-13,0.013871635610766046,0.47880881519274376,0.021303420784279093,0.0012072434607645875,0.014492753623188406,0.0016326530612244899,1.5036496350364963,0.11428571428571428
105,2020-05-14,0.018823529411764704,0.15736019566388923,0.029501633986927935,0.0022624434389140274,0.02,0.003076923076923077,1.505050505050505,0.15692307692307692
106,2020-05-15,0.019060283687943262,0.1499781031031031,0.030780966518225376,0.002551020408163265,0.02127659574468085,0.003472222222222222,1.5053763440860215,0.16666666666666666
107,2020-05-16,0.01870748299319728,0.09717546004576945,0.032235621521334856,0.0024489795918367346,0.020833333333333332,0.0033333333333333335,1.5052631578947369,0.16333333333333333
